,Data,,,,,,,,,,,,,,,,,,,,,
State,Average of % smokers,Average of # Full-service restaurants,Average of Fast-food expenditures per capita,Average of % Households no car & <1 mile to store,Average of % eating few fruits and vegetables,Average of Lbs per capita meat&poultry,Average of Adult obesity rate,"Average of Rec & fitness facilities/1,000 pop ",Average of Lbs per capita solid fats,Average of Median household income,Average of % who do not exercise,"Average of Chip & pretzel sales tax, vending",Average of Lbs per capita pkg sweetsnacks,Average of Gals per capita soft drinks,"Average of Fast-food restaurants/1,000 pop",Average of Lbs per capita prepared meals,Average of Relative price of sweetened drinks,Average of Poverty rate,Average of Price ratio fruit/pkg sweet snacks,Average of Price ratio fruit/pkg savory snacks,Average of Price ratio green-leafy/starchy veg,Average of % Students reduce-price-lunch eligible
Mississippi,34.10682927,18.82051282,442,7.055853659,66.64567901,70.2804878,34.39390244,0.044219512,17.63414634,34146.60976,27.79878049,0.01,113.1585366,81.86585366,0.571101266,292.7926829,0.999268293,23.70243902,0.338170732,0.378170732,1.614146341,8.09382716
Missouri,25.26113043,37.65217391,491,3.956347826,34.98173913,64.3826087,29.79913043,0.096782609,20.05217391,39370.49565,24.17043478,0,120.8695652,65.13043478,0.523390909,305.2347826,0.974869565,16.51304348,0.332521739,0.376869565,1.575043478,10.27913043
Montana,29.07267857,18.2962963,403,3.125892857,28.94642857,69,24.58571429,0.151,18,39544.96429,23.09464286,0,111,58,0.773583333,283,1.11,15.28571429,0.34,0.39,1.52,9.125
Nebraska,25.64774194,15.35227273,474,2.703225806,26.87419355,62.59139785,28.87634409,0.069473118,20.48387097,42166.76344,23.71935484,0.055,121.3870968,64.43010753,0.616147059,302.0322581,0.972580645,11.87204301,0.322043011,0.364731183,1.55172043,12.23333333
Nevada,18.37235294,96.6875,527,3.425882353,33.63,67.94117647,27.82941176,0.072470588,18.23529412,53301.29412,23.21176471,0,113.8235294,57.88235294,0.5508125,287.8235294,1.104117647,11.59411765,0.336470588,0.386470588,1.534117647,8.99
New Hampshire,14.53,127.3,476,3.129,14.64,45,24.82,0.168,21.5,57289.3,23.11,0,116.5,58,0.7553,297.5,0.915,9.32,0.36,0.42,1.695,6.53
New Jersey,6.42952381,294.047619,371,2.508095238,20.74761905,93.14285714,23.84285714,0.165619048,17.85714286,70701.52381,23.44761905,0.07,136.2857143,53.71428571,0.788238095,322.7142857,0.974285714,8.476190476,0.345714286,0.405714286,1.492857143,5.776190476
New Mexico,30.28787879,42,506,4.23,58.22727273,69,22.23636364,0.067090909,18,38731.18182,21.85151515,0.05,111,58,0.5930625,283,1.11,19.04545455,0.34,0.39,1.52,7.766666667
New York,15.49901639,277.4516129,348,3.414590164,26.63225806,62.03225806,25.6016129,0.110467742,20.83870968,51407.40323,23.31774194,0.04,118.1612903,59.90322581,0.626241935,298.483871,0.899516129,12.96451613,0.353064516,0.422580645,1.489032258,9.237096774
North Carolina,24.8669,68.91,514,5.2945,38.679,73.51,29.438,0.09178,16.37,41807.65,25.734,0.0425,103.82,66.27,0.62423,288.71,0.9697,16.854,0.3684,0.4086,1.5353,9.661
North Dakota,27.35056604,10.7254902,349,3.368301887,25.99245283,61,28.32264151,0.103037736,21,43225.41509,23.87924528,0,122,64,0.69552381,298,0.97,12.44528302,0.31,0.35,1.53,9.450980392
Ohio,16.40215909,81.26136364,514,3.363636364,25.55340909,67.22727273,29.52727273,0.088284091,20.84090909,46833.36364,25.25568182,0,121.9886364,69.625,0.698875,313.0568182,0.936590909,13.09204545,0.328409091,0.376704545,1.548636364,7.455681818
Oklahoma,26.40220779,32.24675325,530,3.611948052,47.8038961,67.46753247,30.06883117,0.043233766,16.76623377,39340.87013,25.98701299,0,103.2207792,69.87012987,0.532826667,276.6363636,1.000519481,17.28181818,0.301558442,0.352857143,1.671818182,11.61168831
Oregon,19.51083333,102.25,489,2.489166667,36.85555556,65.66666667,26.45,0.116583333,18.33333333,44624.80556,23.2,0,113.6666667,53.66666667,0.765028571,305.3333333,1.12,14.84166667,0.303333333,0.343333333,1.41,9.833333333
Pennsylvania,17.30731343,131.9104478,353,3.401940299,23.39850746,74.7761194,27.95820896,0.109119403,21.43283582,46617.65672,24.23880597,0,127.0298507,63.08955224,0.59338806,329.4477612,0.918208955,12.56567164,0.337313433,0.407910448,1.606865672,8.119402985
Rhode Island,8.366,204.6,491,2.418,16.96,31,20.74,0.1688,19,62971.6,22.66,0,115,57,0.7788,296,0.91,9.68,0.34,0.39,1.53,5.58
